49: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 20 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=43.09, timeTakenToTestModelOnTrainingData=378.94, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
50: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 20 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=44.6, timeTakenToTestModelOnTrainingData=373.89, timeTakenToPerformCrossValidation=0.16, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
52: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=43.37, timeTakenToTestModelOnTrainingData=375.44, timeTakenToPerformCrossValidation=0.06, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
51: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=42.8, timeTakenToTestModelOnTrainingData=379.76, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
53: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 700 -M 0.2 -L 0.1 ', timeTakenToBuildModel=41.76, timeTakenToTestModelOnTrainingData=379.76, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
61: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 30 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=17.74, timeTakenToTestModelOnTrainingData=161.0, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
60: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 30 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.72, timeTakenToTestModelOnTrainingData=169.29, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
62: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 6 -E 30 -N 300 -M 0.3 -L 0.1 ', timeTakenToBuildModel=18.63, timeTakenToTestModelOnTrainingData=161.82, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
64: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 3 -E 10 -N 500 -M 0.3 -L 0.1 ', timeTakenToBuildModel=28.25, timeTakenToTestModelOnTrainingData=266.98, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
63: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 10 -N 500 -M 0.3 -L 0.1 ', timeTakenToBuildModel=31.21, timeTakenToTestModelOnTrainingData=271.29, timeTakenToPerformCrossValidation=0.09, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
66: title='MultilayerPerceptron', classifierOptions='Options: -H 0 -V 0 -E 20 -N 500 -M 0.3 -L 0.1 ', timeTakenToBuildModel=30.03, timeTakenToTestModelOnTrainingData=269.85, timeTakenToPerformCrossValidation=0.1, correctlyClassifiedInstances=8124, correctlyClassifiedInstancesPercentage=100.0, incorrectlyClassifiedInstances=0, incorrectlyClassifiedInstancesPercentage=0.0, kappaStatistic=1.0}
